name,dob,outcome_type,outcome_subtype,outcome_datetime,sex,color,age,breed
*Arthur,2022-07-21,Adoption,Foster,2022-12-16 16:09:00,Neutered Male,Brown Brindle/White,4 months,American Bulldog
Unknown,2019-10-21,Transfer,Partner,2020-01-08 12:03:00,Intact Male,Tan/White,2 months,Labrador Retriever
Unknown,2016-06-27,Transfer,Partner,2016-08-11 17:02:00,Intact Female,Tan/White,1 month,Harrier
*Raskin,2020-11-09,Adoption,Foster,2022-12-12 12:50:00,Neutered Male,White,2 years,Great Pyrenees
Unknown,2019-05-09,Transfer,Partner,2019-08-09 15:44:00,Intact Female,Black/White,3 months,Labrador Retriever
Leeloo,2015-04-02,Transfer,Partner,2016-04-29 15:16:00,Spayed Female,Brown/White,1 year,Shih Tzu
Luna,2022-07-24,Adoption,Foster,2022-11-30 15:52:00,Spayed Female,Black/White,4 months,Australian Cattle Dog
Rocko,2014-07-03,Transfer,Partner,2019-04-09 19:45:00,Neutered Male,Black/White,4 years,Labrador Retriever
*Anne Bonny,2018-05-31,Transfer,Partner,2019-06-28 12:39:00,Intact Female,White/Brown,1 year,Labrador Retriever
Unknown,2019-03-12,Died,In Foster,2019-03-15 12:32:00,Intact Male,Brown/White,3 days,Australian Shepherd
*Chip,2014-12-22,Transfer,Partner,2015-09-26 11:32:00,Neutered Male,Chocolate,9 months,Labrador Retriever
Wilbur,2011-02-02,Transfer,Partner,2017-09-06 08:54:00,Neutered Male,Chocolate/White,6 years,Boxer
Luna,2018-06-06,Adoption,Foster,2019-01-11 16:38:00,Spayed Female,Black/White,7 months,Plott Hound
Tyson,2011-07-05,Euthanasia,Suffering,2014-06-23 19:12:00,Intact Male,Blue/White,2 years,Mastiff
*Emmy,2016-06-25,Transfer,Partner,2018-06-29 14:01:00,Intact Female,Black/White,2 years,Labrador Retriever
Laiyka,2015-05-22,Transfer,Partner,2016-03-24 18:05:00,Spayed Female,Chocolate,10 months,Labrador Retriever
*Caveman,2020-09-01,Transfer,Out State,2021-11-19 13:29:00,Neutered Male,Brown Brindle,1 year,Plott Hound
*Breezy,2013-02-26,Transfer,Partner,2015-03-07 12:27:00,Spayed Female,White/Black,2 years,Pointer
Danielle,2016-11-08,Adoption,Foster,2019-06-01 10:46:00,Spayed Female,Tan,2 years,Labrador Retriever
Unknown,2014-04-06,Transfer,Partner,2014-11-22 18:07:00,Spayed Female,Buff,7 months,Australian Kelpie
Jax,2017-07-15,Transfer,Partner,2019-02-09 11:13:00,Intact Male,Tan,1 year,Weimaraner
Unknown,2013-05-02,Transfer,Partner,2013-11-03 16:01:00,Intact Female,Black,6 months,Cairn Terrier
Unknown,2021-10-13,Transfer,Partner,2023-10-21 11:23:00,Intact Male,Black/Black Brindle,2 years,American Bulldog
A857391,2021-12-16,Transfer,Partner,2022-05-16 16:05:00,Intact Male,Black/White,4 months,Cocker Spaniel
Westley,2018-02-02,Transfer,Out State,2022-03-14 12:25:00,Neutered Male,Black/White,4 years,Border Collie
Bentley,2008-02-04,Euthanasia,Aggressive,2014-02-14 10:58:00,Neutered Male,White/Liver,6 years,Welsh Springer Spaniel
*Balto,2023-01-30,Adoption,Foster,2024-01-16 11:43:00,Neutered Male,Black/White,11 months,Siberian Husky
Brixton,2014-08-13,Transfer,Partner,2019-02-15 15:33:00,Neutered Male,Chocolate/White,4 years,Mastiff
Major,2016-05-24,Transfer,Partner,2018-07-26 16:28:00,Neutered Male,White/Brown,2 years,Maltese
Unknown,2012-07-06,Transfer,Partner,2017-07-10 17:46:00,Neutered Male,Gray/Cream,5 years,Miniature Schnauzer
Pearly,2006-06-06,Transfer,Partner,2013-12-11 16:11:00,Spayed Female,Tan/Black,7 years,Pug
Butters,2012-12-01,Transfer,Partner,2014-06-04 14:19:00,Neutered Male,Yellow,1 year,Labrador Retriever
Crystal,2001-11-08,Euthanasia,Suffering,2014-07-10 18:53:00,Spayed Female,Brown/Cream,12 years,Siberian Husky
Marley,2014-08-17,Transfer,Partner,2017-02-21 15:43:00,Intact Male,White,2 years,Great Pyrenees
Unknown,2009-11-12,Euthanasia,At Vet,2019-11-12 00:00:00,Unknown,White/Black,10 years,Australian Cattle Dog
*Jfk,2019-12-31,Adoption,Foster,2020-03-26 12:06:00,Neutered Male,Black/White,2 months,Labrador Retriever
*Louie,2014-09-17,Adoption,Foster,2016-01-13 09:22:00,Neutered Male,Tan,1 year,Shiba Inu
Andre,2014-12-28,Transfer,Partner,2015-03-14 16:35:00,Intact Male,White,2 months,Great Pyrenees
Wes,2014-09-26,Transfer,Partner,2014-12-26 17:26:00,Intact Male,Brown/Black,2 months,Boxer
Wicket,2010-08-05,Transfer,Partner,2018-03-21 00:00:00,Neutered Male,Brown/Black,7 years,Beagle
Unknown,2014-03-31,Transfer,Partner,2014-05-31 18:10:00,Intact Female,Brown Brindle/White,1 month,Boxer
Unknown,2011-04-23,Transfer,Partner,2021-04-27 11:10:00,Intact Female,White/Black,10 years,Shih Tzu
Haley,2012-09-18,Adoption,Foster,2023-11-14 14:41:00,Spayed Female,Black,11 years,Labrador Retriever
Tyson,2014-01-27,Transfer,Partner,2016-05-23 16:20:00,Neutered Male,Black/White,2 years,Labrador Retriever
Unknown,2023-12-23,Transfer,Partner,2023-12-26 17:34:00,Intact Male,Black/White,3 days,Labrador Retriever
Unknown,2012-12-07,Transfer,Partner,2014-12-11 14:40:00,Spayed Female,White,2 years,Bull Terrier
Unknown,2019-12-27,Transfer,Partner,2021-12-30 13:25:00,Intact Female,Brown/White,2 years,Boxer
Dusty,2010-07-14,Transfer,Partner,2016-07-17 16:00:00,Intact Male,Tan,6 years,Golden Retriever
Booboo Bear,2017-04-16,Transfer,Partner,2018-02-28 12:02:00,Neutered Male,Black,10 months,Havanese
*Jake,2012-07-01,Euthanasia,Aggressive,2014-07-11 18:01:00,Intact Male,Black/White,2 years,Australian Cattle Dog
*Bartok,2014-03-12,Transfer,Partner,2016-03-24 14:44:00,Neutered Male,Sable,2 years,Alaskan Malamute
Ricky,2013-07-20,Transfer,Partner,2017-07-21 00:00:00,Neutered Male,White/Gray,4 years,Shih Tzu
Pablo,2012-03-30,Transfer,Partner,2014-04-11 17:53:00,Neutered Male,Red/White,2 years,American Staffordshire Terrier
*River,2022-06-08,Transfer,Out State,2022-08-12 08:05:00,Intact Male,White,2 months,Labrador Retriever
Unknown,2019-04-24,Transfer,Partner,2019-04-28 12:59:00,Unknown,Brown,4 days,Labrador Retriever
Unknown,2020-09-20,Adoption,Foster,2020-12-02 13:23:00,Spayed Female,White,2 months,Siberian Husky
Unknown,2018-05-11,Transfer,Partner,2023-05-15 00:00:00,Intact Female,Tan/Brown,5 years,Yorkshire Terrier
Unknown,2024-05-01,Transfer,Partner,2024-05-16 12:35:00,Intact Male,Chocolate,2 weeks,Labrador Retriever
Unknown,2016-11-01,Transfer,Partner,2018-11-05 13:08:00,Intact Male,Gray/Tricolor,2 years,Shih Tzu
Buster,2003-10-16,Euthanasia,Medical,2015-05-30 15:53:00,Neutered Male,Brown Brindle/White,11 years,Boxer
Unknown,2017-08-20,Transfer,Partner,2017-10-14 13:31:00,Intact Male,Brown,1 month,Australian Shepherd
*Deanna,2013-09-12,Transfer,Partner,2016-09-21 16:37:00,Spayed Female,Tricolor,3 years,Rat Terrier
Argus,2012-07-12,Transfer,Partner,2021-07-30 15:12:00,Neutered Male,Gray,9 years,Standard Schnauzer
Unknown,2023-02-17,Adoption,Foster,2023-05-08 17:10:00,Neutered Male,Brown Brindle/White,2 months,Siberian Husky
Unknown,2012-02-21,Transfer,Partner,2015-07-26 15:22:00,Neutered Male,Red,3 years,Pomeranian
Unknown,2013-08-20,Transfer,Partner,2014-01-25 17:09:00,Neutered Male,White/Black,5 months,Dalmatian
*Gallaway,2016-08-14,Transfer,Partner,2017-02-25 16:12:00,Intact Female,Black/Brown,6 months,Dachshund
Harper,2019-05-31,Transfer,Partner,2019-08-05 19:00:00,Intact Female,Black/Brown,2 months,Belgian Malinois
Unknown,2022-04-01,Transfer,Partner,2024-04-05 18:29:00,Intact Male,Black,2 years,Pug
*Nelson,2010-11-28,Adoption,Foster,2021-01-19 08:58:00,Neutered Male,Black,10 years,Labrador Retriever
Unknown,2019-06-02,Transfer,Partner,2019-08-03 15:02:00,Spayed Female,White,2 months,Australian Cattle Dog
Jasmine,2014-04-20,Euthanasia,Suffering,2015-04-20 16:38:00,Intact Female,Black,1 year,Labrador Retriever
*Maddy,2015-05-21,Transfer,Partner,2017-03-22 14:48:00,Spayed Female,Black/Black,1 year,Labrador Retriever
Unknown,2014-12-13,Euthanasia,Suffering,2014-12-15 10:21:00,Intact Male,Brown,2 days,Labrador Retriever
Unknown,2019-03-31,Transfer,Partner,2021-04-06 11:17:00,Neutered Male,Brown,2 years,Dachshund
Wally,2013-06-02,Transfer,Partner,2014-06-13 16:19:00,Neutered Male,White,1 year,Bichon Frise
*Spielberg,2022-09-20,Transfer,Partner,2024-03-25 12:43:00,Intact Male,Black/White,1 year,Labrador Retriever
Dutch,2018-06-25,Transfer,Partner,2018-09-12 18:17:00,Intact Male,White/Tan,2 months,Great Pyrenees
Rodeo,2006-10-26,Euthanasia,Aggressive,2013-12-04 15:48:00,Neutered Male,Tan/White,7 years,Labrador Retriever
Charles,2007-08-11,Transfer,Partner,2015-08-25 12:05:00,Neutered Male,Red,8 years,Dachshund
Unknown,2019-08-02,Transfer,Partner,2020-08-03 12:14:00,Intact Female,Brown/Gray,1 year,Yorkshire Terrier
Ricardo,2010-12-02,Euthanasia,Behavior,2013-12-12 15:38:00,Neutered Male,Tan/White,3 years,Border Collie
Bosco,2020-02-03,Transfer,Partner,2022-06-25 13:10:00,Neutered Male,White/Red Merle,2 years,Australian Cattle Dog
*Tod,2017-04-25,Transfer,Partner,2019-05-07 17:02:00,Neutered Male,Brown,2 years,Chow Chow
*Quince,2008-12-28,Transfer,Partner,2016-01-05 18:59:00,Spayed Female,Brown Brindle/White,7 years,Australian Cattle Dog
*Pudding,2017-02-22,Transfer,Partner,2017-08-01 10:19:00,Intact Female,Brown/White,5 months,Labrador Retriever
Unknown,2015-02-05,Transfer,Partner,2015-10-10 13:55:00,Intact Male,Black,8 months,Field Spaniel
*Aurora,2014-11-11,Adoption,Foster,2015-01-07 17:41:00,Spayed Female,Brown/White,1 month,Labrador Retriever
Richard,2015-05-01,Transfer,Partner,2023-05-08 12:38:00,Neutered Male,Tricolor/White,8 years,Beagle
*Swiss Miss,2018-04-05,Transfer,Partner,2021-04-20 11:46:00,Spayed Female,Chocolate/White,3 years,Labrador Retriever
Smokey,2013-12-05,Transfer,Partner,2017-06-19 16:45:00,Neutered Male,White,3 years,Norwich Terrier
Unknown,2016-04-25,Transfer,Partner,2016-05-10 18:07:00,Unknown,Brown Brindle,2 weeks,Labrador Retriever
*Mookie,2015-10-02,Adoption,Foster,2016-06-21 15:23:00,Neutered Male,Fawn/White,8 months,American Staffordshire Terrier
*Speck,2017-05-09,Transfer,Partner,2018-05-22 15:30:00,Neutered Male,Black/White,1 year,Labrador Retriever
Jake,2008-10-24,Transfer,Partner,2017-10-25 15:51:00,Neutered Male,Yellow,9 years,Labrador Retriever
*Polar,2021-06-07,Adoption,Foster,2021-08-10 14:56:00,Spayed Female,Tan/White,2 months,Plott Hound
Toby/Marshal,2012-06-30,Transfer,Partner,2019-03-27 16:42:00,Neutered Male,Blue/White,6 years,Miniature Schnauzer
Unknown,2016-08-14,Adoption,Foster,2016-10-16 19:00:00,Neutered Male,Black/Tan,2 months,Dachshund
Unknown,2004-12-29,Euthanasia,Suffering,2018-12-29 16:10:00,Intact Female,White/Tan,14 years,Shih Tzu
Mckenn,2019-05-13,Transfer,Partner,2020-05-27 11:20:00,Intact Female,White/Liver,1 year,Cocker Spaniel
Winnie,2012-05-14,Transfer,Partner,2015-09-02 13:21:00,Spayed Female,Brown/White,3 years,Australian Shepherd
Unknown,2019-02-23,Transfer,Partner,2021-03-02 14:07:00,Neutered Male,Yellow,2 years,Labrador Retriever
Unknown,2013-10-11,Transfer,Partner,2014-01-02 11:21:00,Intact Female,Black,2 months,Labrador Retriever
Sirius,2001-06-15,Adoption,Foster,2014-01-25 16:10:00,Neutered Male,Apricot,12 years,Boxer
A882450,2023-05-21,Transfer,Partner,2023-06-05 16:34:00,Intact Male,Chocolate/Tan,2 weeks,Labrador Retriever
Unknown,2022-06-06,Transfer,Out State,2022-08-24 10:39:00,Intact Female,Black/White,2 months,Labrador Retriever
Meryl,2017-01-10,Transfer,Partner,2018-02-06 11:18:00,Spayed Female,White/Black,1 year,Labrador Retriever
Dexter,2016-02-02,Transfer,Partner,2016-05-21 00:00:00,Neutered Male,White,3 months,Labrador Retriever
Rory,2016-03-21,Transfer,Partner,2019-03-27 12:05:00,Intact Female,Brown,3 years,Labrador Retriever
Unknown,2013-07-20,Transfer,Partner,2013-10-29 11:09:00,Neutered Male,Brown/Black,3 months,Labrador Retriever
*Gourami,2022-11-12,Adoption,Foster,2023-01-15 17:14:00,Neutered Male,White/Tricolor,2 months,Border Collie
Unknown,2014-04-27,Euthanasia,Suffering,2015-04-27 14:35:00,Intact Female,White/Black,1 year,Border Collie
Deliah,2010-10-21,Transfer,Partner,2015-11-13 18:36:00,Spayed Female,Tan,5 years,Labrador Retriever
*Piper,2020-04-16,Adoption,Foster,2021-02-03 08:44:00,Spayed Female,Brown Brindle/White,9 months,Boxer
Oreo,2013-10-07,Adoption,Foster,2015-09-01 08:49:00,Neutered Male,Black,1 year,Border Collie
Lucas,2005-03-16,Transfer,Partner,2019-03-20 12:47:00,Neutered Male,Chocolate,14 years,Labrador Retriever
Jojo,2006-07-28,Adoption,Foster,2016-11-05 08:18:00,Spayed Female,Black,10 years,Labrador Retriever
Unknown,2017-10-24,Transfer,Partner,2017-12-09 11:22:00,Intact Male,Tricolor,1 month,Australian Shepherd
Brodie,2013-09-19,Transfer,Partner,2015-10-12 14:25:00,Neutered Male,Yellow,2 years,Labrador Retriever
*Gordon,2014-02-05,Transfer,Partner,2016-02-10 11:19:00,Neutered Male,Cream,2 years,Lhasa Apso
Unknown,2016-09-05,Transfer,Partner,2016-10-22 11:39:00,Intact Female,Chocolate,1 month,Labrador Retriever
Jackson,2014-07-01,Transfer,Partner,2016-07-07 14:14:00,Intact Male,Brown/White,2 years,Bullmastiff
Figaro,2018-03-26,Transfer,Partner,2019-04-03 12:41:00,Neutered Male,Black/Tricolor,1 year,Australian Shepherd
Unknown,2023-09-25,Transfer,Partner,2023-11-08 10:15:00,Intact Male,Buff/Tan,1 month,Labrador Retriever
Unknown,2022-01-25,Transfer,Partner,2024-01-29 11:44:00,Intact Male,Black/White,2 years,Shih Tzu
Unknown,2009-06-02,Transfer,Partner,2014-06-11 16:56:00,Intact Female,Gold/White,5 years,Australian Shepherd
*Lemon,2014-04-10,Adoption,Foster,2016-05-03 11:14:00,Spayed Female,Yellow,2 years,Labrador Retriever
A888989,2022-09-15,Transfer,Partner,2023-09-18 17:53:00,Intact Male,Black/White,1 year,Newfoundland
Niko,2015-02-02,Transfer,Partner,2017-02-09 16:39:00,Neutered Male,Black/White,2 years,Siberian Husky
Unknown,2014-03-27,Transfer,Partner,2014-07-30 17:43:00,Intact Male,Black/Tan,4 months,Australian Shepherd
Unknown,2020-08-20,Transfer,Partner,2022-08-20 16:15:00,Intact Female,White/Black,2 years,Pointer
Unknown,2017-07-10,Transfer,Partner,2019-07-15 11:35:00,Neutered Male,White/White,2 years,Bichon Frise
Amanda,2015-04-27,Transfer,Partner,2015-06-24 14:03:00,Spayed Female,Black/Tan,1 month,Yorkshire Terrier
Unknown,2015-09-23,Transfer,Partner,2018-10-23 17:19:00,Intact Female,Black,3 years,Labrador Retriever
A870993,2022-09-16,Transfer,Partner,2022-12-20 16:24:00,Intact Male,Buff,3 months,Miniature Schnauzer
Milly,2008-07-05,Transfer,Partner,2019-07-10 12:13:00,Spayed Female,Tan,11 years,Shih Tzu
Prince,2019-07-13,Transfer,Partner,2019-08-14 13:57:00,Intact Male,Black,4 weeks,Pug
Unknown,2015-06-25,Adoption,Foster,2015-08-28 13:12:00,Neutered Male,Black,2 months,Labrador Retriever
*Bon,2022-12-16,Transfer,Partner,2023-04-06 20:12:00,Neutered Male,Brown,3 months,Labrador Retriever
*George,2009-01-09,Transfer,Partner,2014-01-20 14:25:00,Neutered Male,Black/Brown,5 years,Dachshund
Kiedis,2008-09-19,Euthanasia,Suffering,2014-10-14 19:08:00,Neutered Male,Brown/White,6 years,Labrador Retriever
*Kodiak,2021-06-07,Adoption,Foster,2021-08-09 18:32:00,Spayed Female,Brown Brindle/White,2 months,Plott Hound
Unknown,2021-06-09,Transfer,Partner,2021-07-10 14:29:00,Intact Female,Brown,4 weeks,Boxer
Unknown,2019-03-01,Transfer,Partner,2019-03-12 16:59:00,Intact Female,Black,1 weeks,Labrador Retriever
Jadah,2006-06-17,Transfer,Partner,2015-07-01 12:23:00,Intact Female,Red,9 years,Carolina Dog
Unknown,2023-01-02,Transfer,Partner,2023-01-19 08:11:00,Intact Male,Black/Brown,2 weeks,Labrador Retriever
Unknown,2015-04-23,Transfer,Partner,2015-08-28 12:13:00,Intact Female,Gray/Black,4 months,Siberian Husky
*Gumball,2019-07-27,Adoption,Foster,2019-11-27 10:28:00,Neutered Male,Tan/White,4 months,Border Terrier
Gordy,2016-05-02,Transfer,Partner,2017-11-16 11:38:00,Intact Male,White/Red,1 year,Pekingese
*Neo,2013-11-18,Transfer,Partner,2014-11-29 15:09:00,Intact Male,White/Tan,1 year,Shetland Sheepdog
Unknown,2008-08-17,Transfer,Partner,2016-08-17 18:21:00,Spayed Female,Black/White,8 years,Boston Terrier
*Athena,2007-06-13,Transfer,Partner,2017-06-26 15:00:00,Spayed Female,Red,10 years,Labrador Retriever
Unknown,2012-09-25,Transfer,Partner,2019-09-26 12:27:00,Intact Female,Tan,7 years,Cairn Terrier
*Scooby Doo,2013-06-09,Transfer,Partner,2015-07-30 08:54:00,Neutered Male,White/Black,2 years,Dogo Argentino
Beckham,2013-11-12,Transfer,Partner,2021-11-19 17:23:00,Neutered Male,Tan,8 years,Cocker Spaniel
Shadow,2017-08-02,Adoption,Foster,2023-12-03 16:41:00,Neutered Male,Gray/White,6 years,Siberian Husky
Diesel,2016-03-23,Transfer,Partner,2023-05-24 11:27:00,Neutered Male,Black/Tan,7 years,Whippet
Unknown,2018-12-28,Transfer,Partner,2019-05-04 15:47:00,Spayed Female,Tan,4 months,Norfolk Terrier
Happy,2011-10-05,Transfer,Partner,2013-11-11 12:02:00,Neutered Male,White/Brown,2 years,Border Terrier
Unknown,2016-07-17,Transfer,Partner,2016-08-28 00:00:00,Intact Female,Black/White,1 month,Australian Cattle Dog
Flanagan,2015-07-20,Transfer,Out State,2022-10-31 09:52:00,Neutered Male,Brown Brindle/White,7 years,Bull Terrier
Snickers,2007-04-07,Transfer,Partner,2014-04-18 12:03:00,Neutered Male,Brown,7 years,Labrador Retriever
*Harry,2015-05-12,Transfer,Partner,2016-05-17 16:37:00,Neutered Male,White,1 year,Great Pyrenees
Bruno,2018-12-23,Transfer,Partner,2020-01-02 11:42:00,Neutered Male,Tan/White,1 year,Weimaraner
*Tessa,2013-09-08,Transfer,Partner,2014-02-25 18:23:00,Spayed Female,Black/White,5 months,Boxer
Latte,2019-03-09,Transfer,Partner,2019-05-28 13:28:00,Intact Female,Chocolate/Chocolate,2 months,Labrador Retriever
*Maggie,2020-09-08,Transfer,Out State,2022-09-16 12:28:00,Intact Female,White/Tan,2 years,Great Pyrenees
Puddin,2017-09-25,Adoption,Foster,2017-11-22 12:36:00,Intact Female,Blue,1 month,Neapolitan Mastiff
Sugar,2015-10-10,Transfer,Partner,2022-10-11 12:30:00,Spayed Female,White,7 years,Maltese
*Waffle,2014-05-07,Transfer,Partner,2014-10-11 11:56:00,Spayed Female,White/Black,5 months,Australian Cattle Dog
061,2016-09-03,Transfer,Partner,2017-10-03 13:44:00,Intact Male,Yellow,1 year,Labrador Retriever
Tontin,2022-02-01,Adoption,Foster,2022-07-09 12:53:00,Neutered Male,White/Brown,5 months,American Foxhound
Luca,2014-04-12,Transfer,Partner,2017-04-18 11:59:00,Neutered Male,Black/White,3 years,Siberian Husky
A858611,2022-05-26,Transfer,Out State,2022-06-08 08:42:00,Intact Female,Black/White,1 weeks,Australian Shepherd
*Hailey,2015-01-03,Adoption,Foster,2016-10-05 13:21:00,Spayed Female,Cream/White,1 year,Great Pyrenees
*Gretchen,2013-05-19,Euthanasia,Medical,2015-05-28 14:39:00,Spayed Female,Black/Tan,2 years,Miniature Schnauzer
*Butter,2018-11-21,Transfer,Partner,2019-04-29 16:12:00,Neutered Male,White/Tan,5 months,Pointer
Unknown,2014-04-15,Euthanasia,At Vet,2021-04-18 10:34:00,Intact Female,Brown/Black,7 years,Yorkshire Terrier
Unknown,2015-08-16,Transfer,Partner,2016-08-18 13:35:00,Intact Male,White/Gray,1 year,Shih Tzu
*Helios,2015-10-12,Adoption,Foster,2017-03-01 13:42:00,Neutered Male,White/Brown Brindle,1 year,Pointer
*Simon,2003-02-16,Transfer,Partner,2014-03-01 11:33:00,Neutered Male,Black/Brown Merle,11 years,Australian Shepherd
*Barbie,2020-12-18,Adoption,Foster,2021-02-13 12:42:00,Spayed Female,Red/Black,1 month,Labrador Retriever
Unknown,2022-11-18,Transfer,Partner,2023-01-15 11:51:00,Intact Male,White/Black,1 month,Cairn Terrier
*Tulip,2015-08-03,Transfer,Partner,2016-08-09 09:43:00,Spayed Female,White,1 year,Cairn Terrier
*Naveed,2022-03-04,Transfer,Partner,2023-03-15 18:21:00,Intact Male,Black/White,1 year,American Bulldog
Diamond,2008-10-26,Transfer,Partner,2013-11-01 14:13:00,Spayed Female,White/Brown,5 years,Boxer
Unknown,2006-06-24,Euthanasia,Suffering,2014-06-24 08:21:00,Intact Female,Black,8 years,Chow Chow
Unknown,2017-07-05,Transfer,Partner,2017-08-17 00:00:00,Intact Male,Tan,1 month,Labrador Retriever
*Mindy,2010-02-19,Adoption,Foster,2014-04-29 14:44:00,Spayed Female,Gray/Tan,4 years,Yorkshire Terrier
Domino,2021-10-21,Adoption,Foster,2024-04-09 13:17:00,Neutered Male,Brown Brindle/Blue Tick,2 years,Labrador Retriever
*Perth,2013-09-07,Transfer,Partner,2014-09-28 18:51:00,Spayed Female,Black/White,1 year,Australian Kelpie
A882448,2023-05-21,Transfer,Partner,2023-06-05 16:33:00,Intact Male,White/Brown,2 weeks,Labrador Retriever
Precious,2015-01-17,Transfer,Partner,2019-02-01 12:25:00,Spayed Female,Tricolor,4 years,Lhasa Apso
Cooper,2012-02-10,Euthanasia,Behavior,2015-02-12 18:18:00,Intact Female,Brown/Black,3 years,Australian Cattle Dog
Unknown,2012-11-06,Transfer,Partner,2014-05-22 13:36:00,Intact Male,Red/White,1 year,Boxer
Cloudy,2012-07-01,Euthanasia,Suffering,2019-07-01 09:15:00,Neutered Male,White,7 years,Great Pyrenees
*Honey,2019-03-05,Transfer,Out State,2022-08-05 11:19:00,Spayed Female,Tan/White,3 years,Labrador Retriever
Unknown,2018-03-01,Transfer,Partner,2019-03-08 18:13:00,Spayed Female,Cream/Tan,1 year,Cairn Terrier
*Java,2009-01-01,Adoption,Foster,2018-06-12 13:10:00,Spayed Female,Brown,9 years,Australian Cattle Dog
Unknown,2011-11-15,Adoption,Foster,2023-11-19 11:30:00,Neutered Male,Buff/Cream,12 years,Miniature Schnauzer
Unknown,2022-06-09,Transfer,Partner,2022-06-16 15:52:00,Intact Female,Black/Tan,1 week,Miniature Schnauzer
Unknown,2017-05-30,Transfer,Partner,2017-07-30 16:07:00,Intact Female,Brown,1 month,Labrador Retriever
Pony Boy,2016-01-05,Adoption,Foster,2016-03-14 17:37:00,Neutered Male,White/Red Tick,2 months,Australian Cattle Dog
*Fedora,2021-08-08,Adoption,Foster,2021-10-09 10:28:00,Neutered Male,Tan,2 months,Dachshund
Unknown,2016-04-22,Transfer,Partner,2016-05-21 19:07:00,Intact Male,Brown,4 weeks,Australian Cattle Dog
*Cranberry Sauce,2021-11-07,Transfer,Partner,2023-12-06 12:00:00,Intact Female,Black/White,2 years,Labrador Retriever
*Nuala,2015-05-11,Transfer,Partner,2016-05-16 14:13:00,Intact Female,Brown/White,1 year,Beagle
*Janie,2012-12-04,Transfer,Partner,2013-12-15 15:30:00,Spayed Female,Brown Brindle/White,1 year,Boxer
*Ed,2023-06-25,Transfer,Partner,2023-09-15 12:37:00,Intact Male,White,2 months,Labrador Retriever
Lizzy,2013-10-04,Transfer,Partner,2018-10-08 11:41:00,Spayed Female,Tan/Black,5 years,Pekingese
Unknown,2023-07-17,Transfer,Partner,2024-07-25 15:51:00,Spayed Female,Black/White,1 year,Shih Tzu
Unknown,2014-02-07,Transfer,Partner,2019-02-07 16:46:00,Intact Female,Gold,5 years,Australian Kelpie
Winnie,2013-12-30,Adoption,Foster,2014-03-01 17:22:00,Spayed Female,Tricolor,1 month,Border Collie
Elsa,2014-12-03,Transfer,Partner,2016-01-08 15:34:00,Spayed Female,White/Black,1 year,Pointer
Elsa,2015-08-17,Transfer,Partner,2018-04-18 14:16:00,Spayed Female,Tan,2 years,Labrador Retriever
Brody,2012-01-03,Transfer,Partner,2019-01-08 13:58:00,Neutered Male,Brown,7 years,Rat Terrier
Unknown,2012-11-29,Transfer,Partner,2013-12-03 17:51:00,Neutered Male,Brown Brindle/White,1 year,Boston Terrier
Unknown,2013-09-08,Transfer,Partner,2013-10-15 16:11:00,Intact Female,Sable/White,1 month,Australian Kelpie
Ace,2016-08-22,Transfer,Partner,2019-08-26 13:17:00,Intact Male,Black/White,3 years,Shih Tzu
*Birdie,2017-09-28,Transfer,Partner,2018-10-08 16:45:00,Intact Female,Black,1 year,Labrador Retriever
Unknown,2024-03-03,Transfer,Partner,2024-03-05 09:45:00,Intact Female,Black/White,2 days,Australian Cattle Dog
*Leroy,2008-11-27,Transfer,Partner,2017-12-13 14:51:00,Intact Male,Black,9 years,Great Dane
Sugar,2014-01-20,Transfer,Partner,2018-05-01 11:35:00,Intact Female,Brown/White,4 years,Lhasa Apso
Unknown,2016-09-15,Transfer,Partner,2021-09-22 14:06:00,Intact Male,Brown/Black,5 years,Yorkshire Terrier
Sally,2022-03-01,Transfer,Out State,2022-08-12 08:12:00,Intact Female,Black,5 months,Labrador Retriever
Sparky,2013-01-17,Transfer,Partner,2019-01-17 19:06:00,Neutered Male,Gray/Black,6 years,Yorkshire Terrier
Midnight,2014-06-29,Transfer,Partner,2016-07-04 12:08:00,Spayed Female,Black/White,2 years,Rat Terrier
Carmella,2015-10-10,Transfer,Partner,2017-10-14 12:16:00,Intact Female,Tan,2 years,Havanese
Snicker,2008-09-11,Adoption,Foster,2020-01-29 07:24:00,Neutered Male,Black/Tan,11 years,Miniature Pinscher
Unknown,2013-09-01,Transfer,Partner,2013-10-29 11:27:00,Intact Male,Tricolor,1 month,Australian Cattle Dog
*Colton,2013-08-12,Transfer,Partner,2014-01-15 12:57:00,Intact Male,Brown Brindle,5 months,Plott Hound
Viking,2010-12-11,Transfer,Partner,2016-12-12 12:39:00,Intact Male,Black/White,6 years,Pekingese
Jake,2008-12-06,Euthanasia,Behavior,2014-01-10 15:49:00,Neutered Male,Brown/White,5 years,Brittany
*Gibbs,2011-02-15,Transfer,Partner,2014-02-20 17:26:00,Neutered Male,Tricolor/White,3 years,Great Pyrenees
Unknown,2015-06-04,Transfer,Partner,2015-07-19 14:29:00,Intact Female,Tan/White,1 month,Bull Terrier
*Kismet,2016-11-12,Transfer,Partner,2017-05-19 00:00:00,Spayed Female,Black,6 months,Australian Kelpie
*Frieda,2020-03-03,Adoption,Foster,2020-08-20 08:17:00,Spayed Female,Tricolor,5 months,Miniature Pinscher
